pdf_path,pdf_kind,pdf_file,pdf_year,match_id,match_title,match_year,score,runner_up,confidence,reasons
pdf/salvaged/publications/dyer-et-al-icls-2020.pdf,publications,dyer-et-al-icls-2020.pdf,2020,papers-published-in-refereed-conference-proceedings-023,"Analyzing learning with speech analytics and computer vision methods: Technologies, principles, and ethics",2020,6,4,high,year;first-author
pdf/salvaged/publications/greenhalgh-et-al-2021-bjet.pdf,publications,greenhalgh-et-al-2021-bjet.pdf,2021,articles-published-in-refereed-journals-035,The influence of policy and context on teachers' social media use,2021,7,4,high,year;first-author;venue:bjet
pdf/salvaged/publications/harper-et-al-es-2021.pdf,publications,harper-et-al-es-2021.pdf,2021,articles-published-in-refereed-journals-042,#Mathathome during the COVID-19 Pandemic: Exploring and reimagining resources and social supports for parents,2021,6,3,high,year;first-author
pdf/salvaged/publications/jones-rosenberg-icls-2020.pdf,publications,jones-rosenberg-icls-2020.pdf,2020,papers-published-in-refereed-conference-proceedings-021,Studying whole class discussions at scale,2020,14,6,high,year;coauth:rosenberg;pdf-title
pdf/salvaged/publications/rosenberg-2020-icls-ecw-copyright.pdf,publications,rosenberg-2020-icls-ecw-copyright.pdf,2020,articles-published-in-refereed-journals-050,Getting messy with data: Tools and strategies to help students analyze and interpret complex data sources,2020,16,16,ambiguous,year;first-author;pdf-title
pdf/salvaged/publications/rosenberg-edwards-chen-tst.pdf,publications,rosenberg-edwards-chen-tst.pdf,NA,articles-published-in-refereed-journals-050,Getting messy with data: Tools and strategies to help students analyze and interpret complex data sources,2020,15,4,high,first-author;coauth:chen;venue:tst;pdf-title
pdf/salvaged/publications/rosenberg-et-al-2018.pdf,publications,rosenberg-et-al-2018.pdf,2018,articles-published-in-refereed-journals-055,tidyLPA: An R package to easily carry out Latent Profile Analysis (LPA) using open-source or commercial software,2018,16,6,high,year;first-author;pdf-title
pdf/salvaged/publications/rosenberg-et-al-aera-open-2021.pdf,publications,rosenberg-et-al-aera-open-2021.pdf,2021,articles-published-in-refereed-journals-041,Balancing participants' privacy and open science in the context of COVID-19: A response to Ifenthaler & Schumacher (2016),2021,8,7,ambiguous,year;first-author;title:open
pdf/salvaged/publications/rosenberg-lawson-2019.pdf,publications,rosenberg-lawson-2019.pdf,2019,articles-published-in-refereed-journals-054,An investigation of students' use of a computational science simulation in an online high school physics class,2019,6,4,high,year;first-author
pdf/salvaged/publications/schweinsberg-et-al-2021.pdf,publications,schweinsberg-et-al-2021.pdf,2021,NA,NA,NA,3,3,none,year
