id,section,idx_in_section,citation_raw,year,year_paren,authors_raw,url,doi,title,venue,note
articles-published-in-refereed-journals-026,Articles Published in Refereed Journals,26,"Jones. R. S., & Rosenberg, J. M. (2022). Characterizing whole class discussions about data and statistics with conversation profile analysis. *Journal of Mathematical Behavior, 67*, 1-16. <https://www.sciencedirect.com/science/article/abs/pii/S0732312322000645>",2022,2022,"Jones. R. S., & Rosenberg, J. M",https://www.sciencedirect.com/science/article/abs/pii/S0732312322000645,NA,Characterizing whole class discussions about data and statistics with conversation profile analysis,"Journal of Mathematical Behavior, 67",NA
articles-published-in-refereed-journals-027,Articles Published in Refereed Journals,27,"Rosenberg, J. M., Schultheis, E., Kjelvik, M., Reedy, A., & +Sultana, O. (2022). Big data, big changes? A survey of K-12 science teachers in the United States on which data sources and tools they use in the classroom. *British Journal of Educational Technology, 53*(5), 1179-1201. <https://bera-journals.onlinelibrary.wiley.com/doi/10.1111/bjet.13245>",2022,2022,"Rosenberg, J. M., Schultheis, E., Kjelvik, M., Reedy, A., & +Sultana, O",https://bera-journals.onlinelibrary.wiley.com/doi/10.1111/bjet.13245,10.1111/bjet.13245,"Big data, big changes?",A survey of K-12 science teachers in the United States on which data sources and tools they use in the classroom,NA
articles-published-in-refereed-journals-028,Articles Published in Refereed Journals,28,"+Michela, E., Rosenberg, J., Kimmons, R., +Sultana, O., \^Burchfield, M. A., & \^Thomas, T. (2022). ""We are trying to communicate the best we can"": Understanding districts' communication on Twitter during the COVID-19 pandemic. *AERA Open, 8*, 1-18. <https://doi.org/10.1177/23328584221078542>",2022,2022,"+Michela, E., Rosenberg, J., Kimmons, R., +Sultana, O., \^Burchfield, M. A., & \^Thomas, T",https://doi.org/10.1177/23328584221078542,10.1177/23328584221078542,"""We are trying to communicate the best we can"": Understanding districts' communication on Twitter during the COVID-19 pandemic","AERA Open, 8",NA
articles-published-in-refereed-journals-029,Articles Published in Refereed Journals,29,"Trout Fryxell, R. T., Camponovo, M., Smith, B., Butefish, K., Rosenberg, J. M., Andsager, J. L., ... & Willis, M. P. (2022). Development of a community-driven mosquito surveillance program for vectors of La Crosse virus to educate, inform, and empower a community. *Insects, 13*(2), 164. <https://www.mdpi.com/2075-4450/13/2/164>",2022,2022,"Trout Fryxell, R. T., Camponovo, M., Smith, B., Butefish, K., Rosenberg, J. M., Andsager, J. L., ... & Willis, M. P",https://www.mdpi.com/2075-4450/13/2/164,NA,"Development of a community-driven mosquito surveillance program for vectors of La Crosse virus to educate, inform, and empower a community","Insects, 13",NA
articles-published-in-refereed-journals-030,Articles Published in Refereed Journals,30,"Rutherford, T., Duck, K., Rosenberg, J. M., & Patt, R. (2022). Leveraging mathematics software data to understand student learning and motivation during the COVID-19 pandemic. *Journal of Research on Technology in Education, 54*(1), 94-131. <https://www.tandfonline.com/doi/full/10.1080/15391523.2021.1920520>",2022,2022,"Rutherford, T., Duck, K., Rosenberg, J. M., & Patt, R",https://www.tandfonline.com/doi/full/10.1080/15391523.2021.1920520,10.1080/15391523.2021.1920520,Leveraging mathematics software data to understand student learning and motivation during the COVID-19 pandemic,"Journal of Research on Technology in Education, 54",NA
articles-published-in-refereed-journals-031,Articles Published in Refereed Journals,31,"Aguilar, S. J., Rosenberg, J., Greenhalgh, S., Fütterer, T., Lishinski, A., & Fischer, C. (2021). A different experience in a different moment? Teachers' social media use before and during the COVID-19 pandemic. *AERA Open, 7*, 1-17. <https://journals.sagepub.com/doi/full/10.1177/23328584211063898>",2021,2021,"Aguilar, S. J., Rosenberg, J., Greenhalgh, S., Fütterer, T., Lishinski, A., & Fischer, C",https://journals.sagepub.com/doi/full/10.1177/23328584211063898,10.1177/23328584211063898,A different experience in a different moment?,Teachers' social media use before and during the COVID-19 pandemic,NA
articles-published-in-refereed-journals-032,Articles Published in Refereed Journals,32,"+Lawson, M. A., Herrick, I., R., & Rosenberg, J. M. (2021). Better together: Mathematics and science pre-service teachers' sensemaking about STEM. *Educational Technology & Society, 24*(4), 180–192.",2021,2021,"+Lawson, M. A., Herrick, I., R., & Rosenberg, J. M",NA,NA,Better together: Mathematics and science pre-service teachers' sensemaking about STEM,"Educational Technology & Society, 24",NA
articles-published-in-refereed-journals-033,Articles Published in Refereed Journals,33,"Schweinsburg, M., ... Luis, S. (2021). Same data, different conclusions: Radical dispersion in empirical results. *Organizational Behavior and Human Decision Processes, 165*(7), 228-249. <https://www.sciencedirect.com/science/article/pii/S0749597821000200> (*Note.* I was an author and contributor to this large-scale, collaborative project.)",2021,2021,"Schweinsburg, M., ... Luis, S",https://www.sciencedirect.com/science/article/pii/S0749597821000200,NA,"Same data, different conclusions: Radical dispersion in empirical results","Organizational Behavior and Human Decision Processes, 165",NA
articles-published-in-refereed-journals-034,Articles Published in Refereed Journals,34,"Greenhalgh, S. P., Rosenberg, J. M., & Russell, A. (2021). The influence of policy and context on teachers' social media use. *The British Journal of Educational Technology, 52*(5), 2020-2037. <https://bera-journals.onlinelibrary.wiley.com/doi/10.1111/bjet.13096?af=R>",2021,2021,"Greenhalgh, S. P., Rosenberg, J. M., & Russell, A",https://bera-journals.onlinelibrary.wiley.com/doi/10.1111/bjet.13096?af=R,10.1111/bjet.13096,The influence of policy and context on teachers' social media use,"The British Journal of Educational Technology, 52",NA
articles-published-in-refereed-journals-035,Articles Published in Refereed Journals,35,"Frank, K. A., Lin, Q., Maroulis, S., Strassman, A., Xu, R., Rosenberg, J. M., Hayter, C., Mahmoud, R., Kolak, M., Dietz, T., & Zhang, L. (2021). Hypothetical case replacement can be used to quantify the robustness of trial results. *Journal of Clinical Epidemiology, 134*(6), 150-159. <https://www.sciencedirect.com/science/article/pii/S0895435621000366> *Note.* I was a scientific programmer for this project.",2021,2021,"Frank, K. A., Lin, Q., Maroulis, S., Strassman, A., Xu, R., Rosenberg, J. M., Hayter, C., Mahmoud, R., Kolak, M., Dietz, T., & Zhang, L",https://www.sciencedirect.com/science/article/pii/S0895435621000366,NA,Hypothetical case replacement can be used to quantify the robustness of trial results,"Journal of Clinical Epidemiology, 134",NA
